cat_pitch,dog_pitch,cat_spectral_centroid,dog_spectral_centroid,cat_zero_crossing_rate,dog_zero_crossing_rate
0.25,0.08999999999999997,1580.8510164544575,921.0043348016801,0.11812061774661509,0.06386543319610778
-0.04999999999999999,0.42000000000000004,2358.3854716334376,1015.7845563860728,0.1327086103723404,0.07119024367559523
0.10999999999999999,0.4,1247.2943202316137,809.7340560720438,0.07439100837201591,0.054775140224358976
0.33000000000000007,-0.46,2215.5909262089,1166.6927775614224,0.148336861879771,0.07047147529069768
0.17000000000000004,0.010000000000000009,2377.854809814306,1191.350759314506,0.1761968085106383,0.07202854953778134
0.29000000000000004,-0.020000000000000018,2326.602912758883,1495.7615977163423,0.1519140625,0.07771136046974522
0.45999999999999996,0.040000000000000036,1930.5051936762432,923.905017766958,0.11466999797077922,0.0649791599548969
0.28,0.45000000000000007,1063.1882159747342,898.2517894490112,0.046192456317204304,0.058720999053030305
-0.5,0.41000000000000003,787.4667000037344,1399.4850260504772,0.043883167613636365,0.07596571180555556
-0.06,0.08999999999999997,1769.2998679629416,1118.2205486110379,0.0900607638888889,0.06945047260802469
-0.13,0.45000000000000007,819.8227169212283,1110.6432802529962,0.023983909970238096,0.06991425642730496
-0.02999999999999997,-0.14,1509.4252315463148,1103.1453245853902,0.07472370878795066,0.06948904263771187
-0.25,0.30000000000000004,1916.2907571438848,1021.418639429982,0.11228499873991936,0.04940997556442731
-0.39,0.4,2661.4196589651497,930.071583120164,0.17041115071283094,0.06212369302161654
0.38,-0.10999999999999999,2210.1184930303953,1094.9838996072215,0.16002524771341464,0.061282835144927536
-0.08000000000000002,0.29000000000000004,1712.978928009663,1584.897125726969,0.07215134640957446,0.10693359375
0.38,0.33999999999999997,1031.7530403976139,800.5551639406061,0.03858577570266272,0.051655863667582416
-0.15999999999999998,-0.32999999999999996,1261.6986839844408,1429.6440958513513,0.0819546568627451,0.08197699652777778
-0.08999999999999997,-0.12,1552.9542162617374,1730.4832403442317,0.09400972406914894,0.07345470369170984
0.22999999999999998,0.36,945.7220456405456,899.1312260370447,0.05435884915865385,0.059509722855839414
-0.2,-0.46,1512.6602575731645,1109.5995871157643,0.06460336538461539,0.06780133928571429
-0.32,-0.19,412.2272757124227,871.0878067918925,0.01754417166804636,0.05569439052795031
0.30000000000000004,0.17000000000000004,1713.5858751903525,2042.143269145674,0.08053240600822051,0.10452317748645511
-0.49,0.040000000000000036,1722.3661773266338,850.3759602035597,0.09192062407907663,0.0608099671803653
0.0,0.21999999999999997,2018.8541692420115,1298.0132882710666,0.10808204636121857,0.08389971333165322
-0.21999999999999997,0.050000000000000044,1073.2615860098576,1123.7788796842112,0.035193083595261125,0.07015779702970297
-0.08000000000000002,-0.38,1685.282787010259,890.1767556864755,0.07452713815789473,0.03958194813829787
-0.39,0.4,1418.1611601940178,878.0583998090698,0.066072106098234,0.06380483266469594
-0.4,0.13,1936.3546530030078,1088.3784812041342,0.09561344068877552,0.04329044117647059
-0.16999999999999998,-0.36,1179.4589353160618,1418.7898027754904,0.06220296223958333,0.08954152562862669
-0.06,0.39,2174.187653085696,1067.6630912627763,0.1437411221590909,0.07056392840485075
0.19000000000000006,-0.4,3055.9759143268525,1014.7815585931272,0.20425555139720558,0.05378375137061404
-0.37,0.30000000000000004,1327.3907910097857,782.9592328988044,0.04722377232142857,0.05010801373106061
-0.37,0.06000000000000005,1839.1481913857256,973.0661318752574,0.15537396599264705,0.06772104899088542
-0.08999999999999997,-0.13,1926.2344614734016,1354.2558589735668,0.10831556407683486,0.051918053405572755
0.12,-0.48,1606.7840373455188,966.3572720638285,0.14189009232954544,0.06131931992827869
-0.04999999999999999,0.39,1423.1528713843252,1013.673998385126,0.06566097861842106,0.035256410256410256
0.14,0.07999999999999996,1365.5479193834285,1186.9426373304761,0.07098900139664804,0.07506510416666666
0.0,-0.10999999999999999,1886.783253306075,1137.8942232099748,0.11054338727678571,0.036601082223360656
0.42000000000000004,0.020000000000000018,1994.0613452202836,974.8698037972134,0.09215494791666666,0.06461439220183486
-0.5,0.16000000000000003,2092.529830211413,1419.9650105828564,0.12904130651595744,0.050875150240384616
0.0,-0.10999999999999999,2556.185606616346,878.7978838169532,0.17248222155448717,0.05807569550304878
0.06000000000000005,0.45999999999999996,2006.536422536613,1228.071271445781,0.12837357954545456,0.06327756485849056
-0.07,0.43000000000000005,1884.1081532207286,877.6379921652791,0.09199615419487428,0.055900703924914676
0.12,-0.10999999999999999,1757.342033799277,1201.5995322434055,0.0803316043374317,0.06590448563856016
-0.19,0.20999999999999996,1450.049171883771,798.1733997555424,0.09148520611702128,0.041406804865056816
0.41000000000000003,0.29000000000000004,1166.419531853244,2064.525158755852,0.05026841301982592,0.1262736613233288
0.0,0.22999999999999998,2077.9364396695755,882.9657222796745,0.11474137149419729,0.06456035539215686
0.13,-0.14,1320.736258205637,923.4568675891587,0.0350830078125,0.06457189611486487
